rank_2010,rank_2009,company,country,arms_revenues_2010,arms_revenues_2009,total_revenues_2010
1,1,Lockheed Martin Corp.,United States,35730,33430,45800
2,3,BAE Systems,United Kingdom,33180,31740,34450
3,2,Boeing,United States,30000,31900,64310
4,4,Northrop Grumman Corp.,United States,26800,26000,34760
5,5,General Dynamics Corp.,United States,23940,23380,32470
6,6,Raytheon,United States,22980,23080,25180
7,7,EADS,Trans-European,16360,15930,60600
8,8,Finmeccanica,Italy,14410,13280,24760
9,9,L-3 Communications,United States,13070,13010,15680
10,10,United Technologies Corp.,United States,10980,10640,52280
11,11,Thales,France,9950,10200,17380
12,12,Science Applications International Corp.,United States,8230,8030,11120
13,29,Oshkosh Corp.,United States,7080,2770,9770
14,13,Honeywell International,United States,5400,5380,32350
15,19,Mitsubishi Heavy Industries,Japan,4560,4170,33080
16,17,Computer Sciences Corp.,United States,4500,4590,16040
17,18,Rolls-Royce,United Kingdom,4330,4260,16790
18,16,General Electric,United States,4300,4700,150210
19,15,ITT Corporation,United States,4000,4730,11000
20,24,Almaz-Antey,Russia,3950,3250,4440
21,31,United Aircraft Corp.,Russia,3810,2710,4630
22,21,MBDA,Trans-European,3640,3610,3710
23,23,Textron,United States,3600,3260,10530
24,50,United Shipbuilding Corp.,Russia,3360,1810,4480
25,22,DCNS,France,3320,3340,3320
26,14,KBR,United States,3310,4990,10100
27,27,CACI International,United States,3230,2790,3580
28,28,URS Corp.,United States,3030,2780,9180
29,36,Booz Allen Hamilton,United States,3000,2640,5590
30,33,Harris Corp.,United States,3000,2700,5420
31,54,Hewlett-Packard Company,United States,2890,1580,126030
32,38,Rockwell Collins,United States,2860,2580,4670
33,30,Safran,France,2860,2750,14250
34,35,Saab,Sweden,2780,2640,3390
35,25,Alliant Techsystems,United States,2780,2810,4840
36,44,Babcock International Group,United Kingdom,2770,2010,4470
37,37,Rheinmetall,Germany,2660,2640,5280
38,41,Hindustan Aeronautics,India,2620,2170,2870
39,49,ManTech International Corp.,United States,2500,1920,2600
40,32,Elbit Systems,Israel,2480,2700,2610
41,43,Israel Aerospace Industries,Israel,2400,2030,3150
42,52,Indian Ordnance Factories,India,2330,1690,2450
43,40,Cobham,United Kingdom,2260,2260,2940
44,45,Goodrich Corp.,United States,2230,2010,6970
45,34,DynCorp International,United States,2210,2650,3390
46,48,Bechtel Corp.,United States,2180,1920,27900
47,42,Serco Group,United Kingdom,2130,2110,6690
48,63,Kawasaki Heavy Industries,Japan,2080,1110,13980
49,47,Navantia,Spain,2010,1980,2100
50,51,QinetiQ,United Kingdom,1920,1770,2630
51,20,AM General,United States,1900,3720,. .
52,26,Navistar,United States,1800,2800,12150
53,57,ST Engineering,Singapore,1800,1450,4390
54,55,Rafael,Israel,1780,1570,1810
55,56,Mitsubishi Electric Corp.,Japan,1670,1550,41530
56,53,Krauss-Maffei Wegmann,Germany,1610,1630,1690
57,73,Russian Helicopters,Russia,1580,890,2210
58,66,Kongsberg Gruppen,Norway,1500,1090,2560
59,60,Nexter,France,1430,1230,1430
60,-,IHI Corp.,Japan,1410,470,13530
61,61,General Atomics,United States,1410,1130,. .
62,46,ThyssenKrupp,Germany,1340,1980,56450
63,39,Agility,Kuwait,1310,2490,5600
64,97,Fluor Corp.,United States,1300,710,20850
65,58,Dassault Aviation Group,France,1270,1360,5550
66,98,United Engine Corp.,Russia,1250,680,2810
67,74,Tactical Missiles Corp.,Russia,1100,880,1130
68,62,Jacobs Engineering Group,United States,1090,1130,9920
69,-,Triumph Group,United States,1080,480,2910
70,67,Diehl,Germany,1070,1070,3610
71,64,GKN,United Kingdom,1050,1110,8390
72,70,Samsung Techwin,South Korea,1010,930,3250
73,72,Bharat Electronics,India,1000,920,1230
74,77,NEC Corp.,Japan,980,860,35490
75,71,Moog,United States,960,920,2110
76,78,Fincantieri,Italy,940,860,3810
77,87,Chemring Group,United Kingdom,890,750,920
78,84,Bumar Group,Poland,880,770,1040
79,80,Ultra Electronics Group,United Kingdom,880,810,1100
80,95,CAE,Canada,840,710,1580
81,91,RUAG,Switzerland,830,730,1720
82,88,LIG Nex1,South Korea,820,750,820
83,65,Shaw Group,United States,810,1100,6980
84,85,The Aerospace Corp.,United States,810,770,910
85,76,Precision Castparts Corp.,United States,810,880,6210
86,94,Cubic Corp.,United States,810,710,1190
87,83,Mitre Corp.,United States,790,780,1310
88,81,Meggitt,United Kingdom,780,810,1800
89,86,Curtiss-Wright Corp.,United States,780,760,1860
90,90,Alion Science & Technology Corp.,United States,770,740,830
91,102,ASELSAN,Türkiye,760,640,790
92,108,Korea Aerospace Industries,South Korea,740,590,1100
93,82,UralVagonZavod,Russia,730,790,1810
94,109,Hawker Beechcraft Corp.,United States,700,580,2810
95,112,Doosan,South Korea,690,550,19880
96,105,Esterline Technologies Corp.,United States,690,640,1530
97,117,Salut,Russia,690,490,720
98,79,VSE Corp.,United States,680,840,870
99,-,Embraer,Brazil,670,470,5360
100,93,Teledyne Technologies,United States,670,720,1640
